clip_id,word,audio_arrival_sec,commit_time_sec,word_latency_sec
clip_000,ġieli,2.0,1.509,0.0
clip_000,l-waiteress,2.0,1.509,0.0
clip_000,u,2.0,1.509,0.0
clip_000,poġġiethom,2.0,1.509,0.0
clip_000,it-t,2.0,1.509,0.0
clip_000,fuq,4.0,2.464,0.0
clip_000,il-mejda,4.0,2.464,0.0
clip_000,jason,6.0,3.529,0.0
clip_000,inqas,6.0,3.529,0.0
clip_000,min-n,6.0,3.529,0.0
clip_000,robert,6.0,3.529,0.0
clip_000,sa,8.0,4.526,0.0
clip_000,fl-aħħar,8.0,4.526,0.0
clip_000,x'hawn,8.0,4.526,0.0
clip_000,dan,10.0,5.712,0.0
clip_000,il-kliem,10.0,5.712,0.0
clip_000,jieħu,10.0,5.712,0.0
clip_000,sura,10.0,5.712,0.0
clip_000,ġo,10.0,5.712,0.0
clip_000,moħħu,12.0,7.063,0.0
clip_000,ħasra,12.0,7.063,0.0
clip_000,tant,12.0,7.063,0.0
clip_000,li,12.0,7.063,0.0
clip_000,waqaf,12.0,7.063,0.0
clip_000,sabtu,14.0,8.362,0.0
clip_000,u,14.0,8.362,0.0
clip_000,l-oħrajn,14.0,8.362,0.0
clip_000,daħlu,14.0,8.362,0.0
clip_000,ġo,14.0,8.362,0.0
clip_000,daqq,16.0,9.228,0.0
clip_000,biċċa,16.0,9.228,0.0
clip_000,għal,18.0,10.536,0.0
clip_000,ġerrin,18.0,10.536,0.0
clip_000,l-i,18.0,10.536,0.0
clip_000,tant,18.0,10.536,0.0
clip_000,ħagret,18.0,10.536,0.0
clip_000,ma'ha,20.0,11.639,0.0
clip_000,li,20.0,11.639,0.0
clip_000,tal-modella,20.0,11.639,0.0
clip_000,ħalliha,22.0,12.738,0.0
clip_000,warajh,22.0,12.738,0.0
clip_000,statwa,22.0,12.738,0.0
clip_000,imma,24.0,13.663,0.0
clip_000,ma,24.0,13.663,0.0
clip_000,j'avx,24.0,13.663,0.0
clip_000,min,26.0,14.528,0.0
clip_000,jaf,26.0,14.528,0.0
clip_000,forsi,26.0,14.528,0.0
clip_000,kien,26.0,14.528,0.0
clip_000,hemm,26.0,14.528,0.0
clip_000,ma,28.0,15.32,0.0
clip_000,provvajx,28.0,15.32,0.0
clip_000,surġent,30.0,16.689,0.0
clip_000,ħareġ,30.0,16.689,0.0
clip_000,l-ħati,30.0,16.689,0.0
clip_000,jistenna,30.0,16.689,0.0
clip_000,barra,32.0,17.742,0.0
clip_000,wara,32.0,17.742,0.0
clip_000,l-bieb,32.0,17.742,0.0
clip_000,tas-sala,32.0,17.742,0.0
clip_000,imbagħad,34.0,18.452,0.0
clip_000,baqa',36.0,19.557,0.0
clip_000,serġent,36.0,19.557,0.0
clip_000,fil-kumpanija,36.0,19.557,0.0
clip_000,ta',38.0,21.15,0.0
clip_000,l-imdina,38.0,21.15,0.0
clip_000,u,38.0,21.15,0.0
clip_000,kien,38.0,21.15,0.0
clip_000,dejjem,38.0,21.15,0.0
clip_000,l-ewwel,38.0,21.15,0.0
clip_000,wieħed,38.0,21.15,0.0
clip_000,hemm,40.0,22.1,0.0
clip_000,bżonn,40.0,22.1,0.0
clip_000,biex,40.0,22.1,0.0
clip_000,jiġġieled,40.0,22.1,0.0
clip_000,jew,42.0,23.246,0.0
clip_000,biex,42.0,23.246,0.0
clip_000,jaqbeż,42.0,23.246,0.0
clip_000,xi,42.0,23.246,0.0
clip_000,l-l,42.0,23.246,0.0
clip_000,g,42.454,24.003,0.0
clip_000,ar,42.454,24.003,0.0
clip_001,dgħajjes,2.0,1.064,0.0
clip_001,oħra,2.0,1.064,0.0
clip_001,m'għandniex,2.0,1.064,0.0
clip_001,meta,4.0,2.721,0.0
clip_001,t-taqqien,4.0,2.721,0.0
clip_001,u,4.0,2.721,0.0
clip_001,l-mod,4.0,2.721,0.0
clip_001,li,4.0,2.721,0.0
clip_001,jżewwdu,4.0,2.721,0.0
clip_001,lilna,4.0,2.721,0.0
clip_001,fil-milied,6.0,3.629,0.0
clip_001,le,8.0,4.375,0.0
clip_001,żgur,8.0,4.375,0.0
clip_001,hawn,8.0,4.375,0.0
clip_001,xi,10.0,5.37,0.0
clip_001,wieħed,10.0,5.37,0.0
clip_001,tal-klikka,10.0,5.37,0.0
clip_001,tagħha,10.0,5.37,0.0
clip_001,xwan,12.0,6.093,0.0
clip_001,l-għoġob,14.0,7.625,0.0
clip_001,u,14.0,7.625,0.0
clip_001,l-ħtmien,14.0,7.625,0.0
clip_001,ma,14.0,7.625,0.0
clip_001,ssibx,14.0,7.625,0.0
clip_001,katrinina,16.0,8.897,0.0
clip_001,u,16.0,8.897,0.0
clip_001,s-sister,16.0,8.897,0.0
clip_001,luġin,16.0,8.897,0.0
clip_001,ġurnata,18.0,10.052,0.0
clip_001,ta',18.0,10.052,0.0
clip_001,qabel,18.0,10.052,0.0
clip_001,kienu,18.0,10.052,0.0
clip_001,jkanċellaw,18.0,10.052,0.0
clip_001,l-appuntament,20.0,10.925,0.0
clip_001,wara,22.0,12.283,0.0
clip_001,marret,22.0,12.283,0.0
clip_001,u,22.0,12.283,0.0
clip_001,ġab,22.0,12.283,0.0
