clip_id,n_words_committed,audio_sec,proc_sec,rtf,median_word_lat,p95_word_lat,streaming_wer,streaming_cer,reference,streamed
clip_000,100,42.454,241.862,5.697,84.981,199.408,0.4211,0.151,giet il-wejtress u poġġietilhom it-tazzi fuq il-mejda jason iqsar minn robert sa fl-aħħar xon ħass dan il-kliem jieħu sura ġo moħħu u nħasad tant li waqaf zoptu u l-oħrajn daħlu ġo fih daq biċċa alġerin li tant ħa grazzja magħha li talabha timmudellħlu u ħallielha warajh statwetta imma ma jafx min jaf forsi kien hemm iżda ma ppruvajtx wisq surġent oħroġ lill-ħati jistenna barra u agħlaq il-bieb tas-sala u mbagħad yes baqa' surġent fil-kumpanija ta' l-imdina u kien dejjem l-ewwel wieħed meta ham bżonnu biex ifieraq xi ġlieda jew biex jaqbeż f' xi għelt ieħor,ġiet il-wejtras u poġġitilhom it-tazzi fuq il-mejda ġejsin eqsar mir-robert sa fl-aħħar xon ħass dan il -ħliem jieħu sura ġo moħħu nħasad tant li waqaf sobtu u l-oħnejn daħlu ġo fih daqq biċċa għal ġerin li tant ħa grazzja magħha li tal-abbad immudellalu u ħallieha warajh sta twetta imma ma jafx min jaf forsi kien hemm iżda ma ppruvajċ wixq surġent oħroġ lil ħati jistenna barra welaq il-bieb tas-sala u mbagħad jiss baqa' surġent fil-kumpanija tal-imdinau kien dejjem l-ewwel wieħed meta mżonnu biex ifiraq xi ġlieda jew biex jaqbeż f' xi għelt ieħor biex ifiraq xi biex ifiraq xi b'
clip_001,95,42.818,209.396,4.89,114.628,166.578,0.3933,0.1156,dgħajjes oħra m' għandniex ta' meta kienu jmorru jżuru lin-nanniet fil-milied le le żgur hawn xi wieħed tal-klikka tagħha xon li kieku konna miftehmin ma' sister katerina u sister luigina l-ġurnata ta' qabel kienu jikkanċellaw l-appuntament wara marret u ġabret il-ġewlaq li kienet ġabet magħha u minn ġewwa fih ħarġet flixkun ċkejken dan żejt taż-żagħruna ifejjaq il-ġrieħi li għandkom ejja mela kompli wrina x' jiswew tal-partit tiegħek iżda ġralu l-istess daħal lura d-dan id-dar attent li ma jagħmilx ħoss b' seba' għajnejn mhux qamet ineż fil-frattemp u niżlet isfel,dgħajjes oħra m' għanniex ta' meta kienu jmorru jżuru lin-nanniet fil-milied leles guraw xi wieħed tal-klikka tagħha xon li kieku għonna mibte min ma' sister katerina u sister luwiġina l-ġurnata ta' qabel kienu kkanċellew l-appuntament wara marret u ġabret il-ġewlaq li kienet ġabbet magħha u minn ġewwa fih ħarġet fl-ixkun ċkejken dan żejt taż-żaruna ifejjaq il-ġrieħi li għandkomejja mela kompli urina xi swew tal -partit tiegħek iżda ġralu l-istess daħalura d-dan id-dar attent li ma jaminx ħoss b' sabarnejn mhux qamet ineż fil-frattemp u niżlet isfer b' b' b' b' b' b' b' b' b'
clip_002,51,20.925,106.675,5.098,65.646,84.675,0.34,0.1061,imma kellu joqgħod u dawk it-tiri tal-kanuni li b' sinjal ta' ferħ sparaw f' nofsinhar il-franċiżi ħasshom bħal imrietel isabbtu fuq qalbu marija ġiet għalija bil-karozza tagħha u ħaditni narah josef ma naqass li semmilu wkoll miss katanja u jiddiskrivilu l-mod kif tilbes kif titkellem u kif inhu ffissat fuqha,imma kellu joqgħod u dawk it-tiri tal -kanuni li b' sinjal ta' verħ sparaw f' nafsinhar il-franċiżi ħasshom bħall-imrietel li sabtu fuq qalbu marija ġie tal-għalija bil-karozza u ħaditni narah josef ma naqas li semmilu wkoll miska tanja u jiddiskrivilu l-mod kif tilbes kif titkellem u kif inuffissa tfuqha f' f'
clip_003,134,51.711,217.105,4.198,86.961,165.394,0.3226,0.1393,l-iżjed meta kien jaf sewwa min huwa u xi ġralu u dan ħabbu u kien iżommu bħal kieku ħuh appuntu surmast kompla jpespes cassar ara li aħna nkunu dejjem irġiel wieġbu l-bundnar filwaqt li raġa' tafa' l-pipa fil-but u qabad il-ħabel tal-kappestru f' idu intefgħu jistrieħu hemmhekk issa sew qal bejnu u bejn ruħu fra mudest irrid immur miss qalilha roberto b' ċerta urġenza minħabba li kien jaf li jrid jiftaħ il-buttuni tal-qmis malajnr għax inkella kienet se tix tixpakka meta jsir majjal jien kont ili xi tliet snin ma nidħol għall-festivals għax kont inħoss li l-impenji tiegħi fil-lukandi kienu biżżejjed kien jittratta dwar iż-żrieragħ hemm bżonn ta' aktar sigurtà f' paceville u la jinteressani la nagħtih importanza u nixtieq kont nista' ngħaddi mingħajru,l-iżjed meta kien ijaf sewwa minn huwa u xi ġralu u dan ħabbu kien iżommu bħal kieku ħuh għappuntu surmas kompla jpespes kassar għarra li aħna nkumnu dejjem irġiel wiġbu l -bul nar filwaqt li raġa' tafha l-pipa fil-but u qabad il-ħabel tal-kappestru f' idu intefgħu jistrieħu hemmhekk issa sew għal bejnu u bejn ruħu fra mudest irrid immur miss qalilha roberto bċerta urġenza minħabba li kien jaf li jrid jiftah il-buttuni tal-qmis mmis mal-għajna x' inkella kienet se tix-tixpakka meta jsir majjal jien kont ili xi tliet snin ma nidħol għal festivils għax kont inħoss li l-impenji tiegħi fil-lukandi kienu biżżejjed kien jitratta dwar iż-żrieraħ hemmżon ta' aktar sigurtà f' paċevill u la jinteressani la nagħtih importanza u nixtieq kont nista' naddi mingħajru b' paħtisla ta' ta' taħt tilbju paħtisla ta' taħt tilbju
clip_004,104,37.826,204.193,5.398,116.852,166.367,0.3804,0.2218,u dak li għandhom jagħmlu l-għada ma jibqax tant importanti min jara l-ġrieden min jara l-wirdien min jiftaħ il-pitazzi u jsibhom mimlija żunżan mejjet nixtieq ngħidlek li issa nista' anki narak hawn ħasbu li kien aktar interessat fir-riċerka li kien għamillu dwar il-proġerija segwieni lura 'l isfel u baqa' jsegwini jien u nħaffef imsarni f' saqajja lejn il-grawnd tal-futbol imbagħad ġamri wegħidha li kellu jibdlilha l-ħġieġ miksur kollu u l-qilla tagħha bdiet tibred bil-mod jien niġi l-aktar imma aktar tard bdew jagħtuna l-porga f' għamla ta' ċikkulata li konna nixtru mingħand l-ispiżjar,u dak li għandhom jagħmlu l-għada ma jibqax tant importanti min jara l-ġlieden min jara l-wirdien min jiftaħ il-pitazzi u jsibhom imlija żunżan mejjet nixtieq ngħidlek li issa nista' anki nara khawn ħasbu li kien aktar interessat fir-riċerka li kien għamillu dwar il-proġerija segwieni lura għal isfel u baqa' segwini jienu nħaffef imsar nifsaqajja lejn il-grawnd tal-futbol imbagħad ġamri wagħda li kellu jibdlilha l-ħġiġ miksur kollu illa tagħha bdiet tibbred bil-mod jien niġil aktar imma aktar tard bdew jagħtuna l-porga f' għamla ta' ċikulata li konna mixxu mingħand l-ispiżjar f' ħediftaq mingħand mingħand jew biex jgħuqidu t-triqeq minn siħadu f' t-triqeq maqtugħ biex t-triqeq
clip_005,120,50.26,321.644,6.4,145.01,271.384,0.3645,0.1786,ngħidha u mar ingħalaq f' kamartu ma jrid jaf b' xejn iżjed donnha rie sqa l-mewt fuqu wara kollox l-istorja dwar oħt gunther kienet ixxukkjatu nazju l-barklor u kienet qaltli li r-reliġjon kultant għandha ħabta tifred flok tgħaqqad imbagħad dilka marġerina stork jew butir tal-papra kif kienet issejjaħlu hi u neħduha mal-kafè u darba ġiljan qalli kien hemm mara mhux malta ta għax madonna malta għadna lura għadna qisna qed ngħixu taħt xi ma nafx min i ma ninqabdux bħal żewġ ġrieden fin-nassa ħarsu ħarsa madwarhom u spalla ma' spalla baqgħu sejrin lejn it-triq tal-imħażen u kien biss meta ċeda li bdiet tassew taħdem l-azzjoni ta' vitanova,ngħidha u marina laq f' kamartu ma jrid jaf b' xejn iżjed donnha riesq għal mewt fuħu wara kollox l -istorja dwar oħtu gunter kienet ix -xukjatu nazju l-barklor u kienet qalt li r-reliġjon kultant għandha ħabta tifred flok taqqad imbagħaddi l-kamarġerina stork jew butir butir tal-papra kif kienet issejjaħluwi u neħduha mal-kafè u darba ġiljan qalli kien hemm mara mhux malta tax madonna malta għadna lura għadna qisna qed ngħixu taħt xi ma nafx min hi ma ninqabdux bħal żewġ riedem fin-nassa ħarsu ħarsa madwarhom u spalla ma' spalla baqgħu sejrin lejn it-triq tal-imħażen u kien biss meta ċegħda li bdiet tassew taħdem l-azzjoni ta' avvita nova f' fuq qed f' taħdem biex il-ġemma taħdem maqtugħ dun il-ġemma taħdem
clip_006,101,46.289,248.842,5.376,146.983,202.553,0.3125,0.1167,moħħni biex ninħeba wiċċu aħmar il-lejl it-tajjeb ħanini qaltli bi tpespisa għal mill-inqas ħames minuti bqajtu siekta fil-karozza going nowhere ernest qatgħetlu kliemu ommu hekk kif reġgħet għolliet rasha minn fuq il-biċċa xogħol li kienet qed tikteb in-nanna miraklu jkollha tagħmel din id-darba biex tfejqu kompla miegħu xon l-istejjer kollha xi ftit jew wisq kellhom togħma seswali u l-lejl kollu f' kumpanija tiegeħu għidtli li issa stajt tħossu madwarek qalilha xon u nanntu fehmet mill-ewwel int ma rajtux staqsewh it-tlieta flimkien li ssegwi pjan li deep down taf li mhux se jirnexxi imma tkompli xorta waħda,moħni biex ninħeba wiċċu aħmar il-lejn ittajjeb ħanini qalt li bitpespisa għal mill-inqas ħames minuti bqajtu sikte fil-karozza going nowher ernest qatgħetlu kliemu ommu hekk kif reġgħet għolli trasha minn fuq il-biċċa xogħol li kienet qed tikteb in-nanna miraklu jkollha tagħmel din id-darba biex tfejqu kompla miegħu xon l-istejjer kollha xi ftit jew wisq kellhom tomas es-swali u l-lejl kollu f' kumpanija liha tiegħu qed li li issa stajt tħossu madwarek qalilha xon u n-antu femet mill-ewwel int ma rajtux staqsew ħitli taf li mkien li se -segwi pjan li dib dawn taf li mhux sejjernexxi imma tkompli xorta waħda s-s-s-s-s-s-s-s-s-s-s-slip
clip_007,33,14.116,59.24,4.197,41.108,45.124,0.2188,0.1587,staħba wara kolonna u malli ż-żewġt irġiel kienu għaddew ħareġ qisu ljun feroċi jgħajjat u jfajjar bl-imħadda fuq rashom b' kemm kellu saħħa żigarella safra marbuta ma' zokk ta' xkupa u int,stahba wara kolonna u malli ż-żewġt irġiel kienu għaddew ħareġ qisu ljun feroċi jgħajjat u jfajjar bl-imħadda fuq rashom b' kemm kellu saħħa żigarella safra marbuta ma zokta x' kupa hu int t-t-t-t-t-t-t-t-t-t-t
clip_008,72,43.975,187.317,4.26,71.86,143.342,0.4487,0.2709,jiena sejjer f' kamarti qed jistennewh hemm barra allura meta se nibdew niktbuh l-artiklu kien qiegħed isaqsi denis wara li ħaslithom ħasla bl-ilma fietel kienet dikitilhom kull ġerħa u kull gidma biż-żejt taż-żagħruna u l-ispirazzjoni tant tkun qawwija li ma nkunx nista' nirreżistiha aktar kienet qed ittir imdawra bil-friefet ikkuluriti sadanittant salvu tar-razzett kien ġa ħejja l-gidja u kien sejjer biha l-kunvent bil-mod il-mod bdiet dieħla d-drawwa tas-siġra tal-milied fuq il-komodina kellu statwa ċkejkna ġo kaxxa tal-ħġieġ hekk,jien sejjer f' kamarti qed jistennew ħem barra meta se nibdew niktbuh l-artiklu kien barra kull ġerħa u kull gidma biż-żejt taż-żaruna u l-inspirazzjoni tant tkun qawija li ma nkunx nista' nirreżistija aktar kienet qed ittir imdawra bil -frifet ikkuluriti sadanittan salvu tar-razzett kien ġo ħejja l-gidja u kien sejjer biha l-kunvent bil-mod il-mod diddieh lad-drawwa tas-siġra tal-milied fuq il-komodina kellu stato ċkejkna l-ġokaxxa tal-ħġieġ hekk bħal hemm biex il-ġimgħa biex il-ġimgħa
clip_009,102,47.229,196.395,4.158,97.352,139.491,0.3824,0.1343,ma xtaqx jagħtiha ċ-ċans li jkollha għalfejn titfa' xi ħtija oħra fuqu tgħaxxaqt nara d-dixxiplina u l-ordni fit-traffiku kollox imfassal bil-ħsieb u kulħadd jgħodd għar-regolament bla tlaqliq nispera li tħobbha u m' intx tużaha għax m' għad baqagħlek lil ħadd iżda kien tard wisq tant qiegħed fil-qrib li qed jgħatti lil robert u kevin ikollu jċaqlaq rasu u jgħolli għonqu għax kulma qed jara n-nokkli s-sofor ta' robert iii x' għarukaża li nemmnu f' dak li rridu fejn hi mark delija iż ġojning di protesters sitta u ħamsin kif jien għax qalli li jekk nieħu sehem f' xi tellieqa u nispiċċaw fowtowfinix,ma xtaqx jagħtiha ċ-ċans li jkollha l-fejn titfgħa xi ħtija oħra fuqu tax-xaqt nar għad -dixxiplina u l -ordnifit traffiku kollox infassal bil-ħsieb u kulħadd jgħod għar regolamenti bla tla' qlieq nispera li tħobbha u minn tixx tużagħha għax ma għalek il-ħadd iżda kien tard wisq tant qiegħed fil-qrib li jgħatti lil robert u kevin ukollu jċaqlaq rasu u jgħolli jonqu għax kull metjar għan-nokli sofor ta' robert hi xagħru kagħża li nemmnu f' dak li rridu fejn hi mark del żġorning di protestors sitta u ħamsin kif jien għax qalli li jekk nieħu sehem f' xi tellieqa u nispiċċaw fowtowfinix f'
