clip_id,word,audio_arrival_sec,commit_time_sec,word_latency_sec
clip_000,ġiet,2.0,0.069,0.0
clip_000,il-wajtres,42.454,9.618,0.0
clip_000,u,42.454,9.618,0.0
clip_000,poġġitilhom,42.454,9.618,0.0
clip_000,it-tgħaz-zji,42.454,9.618,0.0
clip_000,fuq,42.454,9.618,0.0
clip_000,il-mejda,42.454,9.618,0.0
clip_000,jason,42.454,9.618,0.0
clip_000,iqsar,42.454,9.618,0.0
clip_000,minn,42.454,9.618,0.0
clip_000,robert,42.454,9.618,0.0
clip_000,sa,42.454,9.618,0.0
clip_000,fl-aħħar,42.454,9.618,0.0
clip_000,xon,42.454,9.618,0.0
clip_000,ħas,42.454,9.618,0.0
clip_000,dan,42.454,9.618,0.0
clip_000,il-kliem,42.454,9.618,0.0
clip_000,jieħu,42.454,9.618,0.0
clip_000,sura,42.454,9.618,0.0
clip_000,ġo,42.454,9.618,0.0
clip_000,moħħu,42.454,9.618,0.0
clip_000,u,42.454,9.618,0.0
clip_000,nħasad,42.454,9.618,0.0
clip_000,tant,42.454,9.618,0.0
clip_000,li,42.454,9.618,0.0
clip_000,waqaf,42.454,9.618,0.0
clip_000,soptu,42.454,9.618,0.0
clip_000,u,42.454,9.618,0.0
clip_000,l-oħrajn,42.454,9.618,0.0
clip_000,daħlu,42.454,9.618,0.0
clip_000,ġo,42.454,9.618,0.0
clip_000,fih,42.454,9.618,0.0
clip_000,daq,42.454,9.618,0.0
clip_000,biċċa,42.454,9.618,0.0
clip_000,għal,42.454,9.618,0.0
clip_000,ġeħrin,42.454,9.618,0.0
clip_000,li,42.454,9.618,0.0
clip_000,tant,42.454,9.618,0.0
clip_000,ħa,42.454,9.618,0.0
clip_000,grazzja,42.454,9.618,0.0
clip_000,magħha,42.454,9.618,0.0
clip_000,li,42.454,9.618,0.0
clip_000,talabat,42.454,9.618,0.0
clip_000,immudellalu,42.454,9.618,0.0
clip_000,ħalli,42.454,9.618,0.0
clip_000,għa,42.454,9.618,0.0
clip_000,warajh,42.454,9.618,0.0
clip_000,sta',42.454,9.618,0.0
clip_000,twetta',42.454,9.618,0.0
clip_000,imma,42.454,9.618,0.0
clip_000,ma,42.454,9.618,0.0
clip_000,jafx,42.454,9.618,0.0
clip_000,min,42.454,9.618,0.0
clip_000,ja,42.454,9.618,0.0
clip_000,f',42.454,9.618,0.0
clip_000,forsi,42.454,9.618,0.0
clip_000,kien,42.454,9.618,0.0
clip_000,hemm,42.454,9.618,0.0
clip_000,iżda,42.454,9.618,0.0
clip_000,ma,42.454,9.618,0.0
clip_000,appruvajtx,42.454,9.618,0.0
clip_000,wisq,42.454,9.618,0.0
clip_000,surġent,42.454,9.618,0.0
clip_000,oħroġ,42.454,9.618,0.0
clip_000,lil,42.454,9.618,0.0
clip_000,ħati,42.454,9.618,0.0
clip_000,jistenna,42.454,9.618,0.0
clip_000,barra,42.454,9.618,0.0
clip_000,waraq,42.454,9.618,0.0
clip_000,il-bieb,42.454,9.618,0.0
clip_000,tas-sala,42.454,9.618,0.0
clip_000,imbagħad,42.454,9.618,0.0
clip_000,jis,42.454,9.618,0.0
clip_000,baqa',42.454,9.618,0.0
clip_000,surġent,42.454,9.618,0.0
clip_000,fil-kumpanija,42.454,9.618,0.0
clip_000,tal-imdina,42.454,9.618,0.0
clip_000,u,42.454,9.618,0.0
clip_000,kien,42.454,9.618,0.0
clip_000,dejjem,42.454,9.618,0.0
clip_000,l-ewwel,42.454,9.618,0.0
clip_000,wieħed,42.454,9.618,0.0
clip_000,meta,42.454,9.618,0.0
clip_000,hem,42.454,9.618,0.0
clip_000,bżonnu,42.454,9.618,0.0
clip_000,biex,42.454,9.618,0.0
clip_000,ifiraq,42.454,9.618,0.0
clip_000,xi,42.454,9.618,0.0
clip_000,ġlieda,42.454,9.618,0.0
clip_000,jew,42.454,9.618,0.0
clip_000,biex,42.454,9.618,0.0
clip_000,jaqbeż,42.454,9.618,0.0
clip_000,f',42.454,9.618,0.0
clip_000,xi,42.454,9.618,0.0
clip_000,għeld,42.454,9.618,0.0
clip_000,ieħor,42.454,9.618,0.0
clip_001,dħajjes,16.0,1.081,0.0
clip_001,oħra,16.0,1.081,0.0
clip_001,m',16.0,1.081,0.0
clip_001,għandniex,16.0,1.081,0.0
clip_001,ta',16.0,1.081,0.0
clip_001,meta,16.0,1.081,0.0
clip_001,kienu,16.0,1.081,0.0
clip_001,jmorru,16.0,1.081,0.0
clip_001,jżuru,16.0,1.081,0.0
clip_001,lin,30.0,3.589,0.0
clip_001,ngħanniet,30.0,3.589,0.0
clip_001,fil-milied,30.0,3.589,0.0
clip_001,le,30.0,3.589,0.0
clip_001,le,30.0,3.589,0.0
clip_001,żguraw,30.0,3.589,0.0
clip_001,xi,30.0,3.589,0.0
clip_001,wieħed,30.0,3.589,0.0
clip_001,talklikka,40.0,7.547,0.0
clip_001,tagħha,40.0,7.547,0.0
