clip_id,n_words_committed,audio_sec,proc_sec,rtf,median_word_lat,p95_word_lat,streaming_wer,streaming_cer,reference,streamed
clip_000,82,42.454,24.003,0.565,0.0,0.0,0.4947,0.238,giet il-wejtress u poġġietilhom it-tazzi fuq il-mejda jason iqsar minn robert sa fl-aħħar xon ħass dan il-kliem jieħu sura ġo moħħu u nħasad tant li waqaf zoptu u l-oħrajn daħlu ġo fih daq biċċa alġerin li tant ħa grazzja magħha li talabha timmudellħlu u ħallielha warajh statwetta imma ma jafx min jaf forsi kien hemm iżda ma ppruvajtx wisq surġent oħroġ lill-ħati jistenna barra u agħlaq il-bieb tas-sala u mbagħad yes baqa' surġent fil-kumpanija ta' l-imdina u kien dejjem l-ewwel wieħed meta ham bżonnu biex ifieraq xi ġlieda jew biex jaqbeż f' xi għelt ieħor,ġieli l-waiteress u poġġiethom it-t fuq il-mejda jason inqas min-n robert sa fl-aħħar x'hawn dan il-kliem jieħu sura ġo moħħu ħasra tant li waqaf sabtu u l-oħrajn daħlu ġo daqq biċċa għal ġerrin l-i tant ħagret ma'ha li tal-modella ħalliha warajh statwa imma ma j'avx min jaf forsi kien hemm ma provvajx surġent ħareġ l-ħati jistenna barra wara l-bieb tas-sala imbagħad baqa' serġent fil-kumpanija ta' l-imdina u kien dejjem l-ewwel wieħed hemm bżonn biex jiġġieled jew biex jaqbeż xi l-l g ar
clip_001,75,42.818,23.146,0.541,0.0,0.0,0.573,0.31,dgħajjes oħra m' għandniex ta' meta kienu jmorru jżuru lin-nanniet fil-milied le le żgur hawn xi wieħed tal-klikka tagħha xon li kieku konna miftehmin ma' sister katerina u sister luigina l-ġurnata ta' qabel kienu jikkanċellaw l-appuntament wara marret u ġabret il-ġewlaq li kienet ġabet magħha u minn ġewwa fih ħarġet flixkun ċkejken dan żejt taż-żagħruna ifejjaq il-ġrieħi li għandkom ejja mela kompli wrina x' jiswew tal-partit tiegħek iżda ġralu l-istess daħal lura d-dan id-dar attent li ma jagħmilx ħoss b' seba' għajnejn mhux qamet ineż fil-frattemp u niżlet isfel,dgħajjes oħra m'għandniex meta t-taqqien u l-mod li jżewwdu lilna fil-milied le żgur hawn xi wieħed tal-klikka tagħha xwan l-għoġob u l-ħtmien ma ssibx katrinina u s-sister luġin ġurnata ta' qabel kienu jkanċellaw l-appuntament wara marret u ġab il-ġewwa li kienet ġabret magħha minn ġewwa fejn ħarġet ċkejken dan iż-żejt jaruna jfejjaq il-ġrieħi li għandekkom ejja kompli juri xi parti tal-parti tiek ġara l-istess daħal lura d-dar ma jagħmel ħoss ma qametx fil-frattemp u isfel
clip_002,40,20.925,11.829,0.565,0.0,0.0,0.6,0.3023,imma kellu joqgħod u dawk it-tiri tal-kanuni li b' sinjal ta' ferħ sparaw f' nofsinhar il-franċiżi ħasshom bħal imrietel isabbtu fuq qalbu marija ġiet għalija bil-karozza tagħha u ħaditni narah josef ma naqass li semmilu wkoll miss katanja u jiddiskrivilu l-mod kif tilbes kif titkellem u kif inhu ffissat fuqha,imma kellu joqogħdu dawk it-tiri tal-ka b'sinjal ta' sparati il-franċiżi jħossu bħal li sabtu fuq qalbu marija ġiet għalija bil-karozza u ħadtni narawh joseph ma naqqasx l-isem ukoll il-miskatana iddeskrivi l-mod kif tilbes tkellem u kif huwa fissat fuqha mħabbat
clip_003,112,51.711,27.438,0.531,0.0,0.0,0.3952,0.1853,l-iżjed meta kien jaf sewwa min huwa u xi ġralu u dan ħabbu u kien iżommu bħal kieku ħuh appuntu surmast kompla jpespes cassar ara li aħna nkunu dejjem irġiel wieġbu l-bundnar filwaqt li raġa' tafa' l-pipa fil-but u qabad il-ħabel tal-kappestru f' idu intefgħu jistrieħu hemmhekk issa sew qal bejnu u bejn ruħu fra mudest irrid immur miss qalilha roberto b' ċerta urġenza minħabba li kien jaf li jrid jiftaħ il-buttuni tal-qmis malajnr għax inkella kienet se tix tixpakka meta jsir majjal jien kont ili xi tliet snin ma nidħol għall-festivals għax kont inħoss li l-impenji tiegħi fil-lukandi kienu biżżejjed kien jittratta dwar iż-żrieragħ hemm bżonn ta' aktar sigurtà f' paceville u la jinteressani la nagħtih importanza u nixtieq kont nista' ngħaddi mingħajru,l-iżjed meta kien jaf sewwa min huwa u xi ġara u dan ħabbu kien iżomm bħallikieku ħuh appuntu surmast kompla jippetita spiss qasar aħna dejjem irġiel u n-nar fil-waqt li r-raġel pippa fil-but u qabad il-ħabel tal kaptru f'fidu u jistrieħu hemmhekk issa sew qalbejn u bejn ruħu f'ram u dest irrid immur imiss qalilha r-robert ċerta urġenza minħabba li kien jaf li jrid jiftaħ il-buttuni tal-qima malajr għax inkella kienet se tkun tixxakkja meta jsir majjal jien kont il-i xi tliet snin nidħol għal festivi għax kont inħoss l-impenn tiegħi fil-lukandi kienu kien jittratta dwar iz-zrieħ hemm bzonn ta' aktar sikurita f'paċi u l-interessant nagħtih importanza u nixtieq nista' ngħaddi mingħajrha
clip_004,80,37.826,21.43,0.567,0.0,0.0,0.413,0.2151,u dak li għandhom jagħmlu l-għada ma jibqax tant importanti min jara l-ġrieden min jara l-wirdien min jiftaħ il-pitazzi u jsibhom mimlija żunżan mejjet nixtieq ngħidlek li issa nista' anki narak hawn ħasbu li kien aktar interessat fir-riċerka li kien għamillu dwar il-proġerija segwieni lura 'l isfel u baqa' jsegwini jien u nħaffef imsarni f' saqajja lejn il-grawnd tal-futbol imbagħad ġamri wegħidha li kellu jibdlilha l-ħġieġ miksur kollu u l-qilla tagħha bdiet tibred bil-mod jien niġi l-aktar imma aktar tard bdew jagħtuna l-porga f' għamla ta' ċikkulata li konna nixtru mingħand l-ispiżjar,u dak li għandhom jagħmlu l-għada tant importanti min jara l-ġwienaħ min jara min jiftaħ il-pizzijiet u jsibhom li hija zzanzun mejjet nixtieq ngħidlek li issa nista' anke nara ħasbu li kien interessat fir-riċerka li kien għamel u dwar il-proġerija segwi lura l-isfel u baqa' jkompli u jiena ħieles lejn il-grawnd tal-futbol imbagħad ġammri wegħda l-i kellu il-ħġieġ miksur kollu tagħha bdiet tibred bil-mod jien niġi l-aktar imma aktar tard bdew jagħtuha il-porga f'forma taċ-ċikkulata li konna nixtru minn l-ispizzjar
clip_005,105,50.26,27.737,0.552,0.0,0.0,0.514,0.2748,ngħidha u mar ingħalaq f' kamartu ma jrid jaf b' xejn iżjed donnha rie sqa l-mewt fuqu wara kollox l-istorja dwar oħt gunther kienet ixxukkjatu nazju l-barklor u kienet qaltli li r-reliġjon kultant għandha ħabta tifred flok tgħaqqad imbagħad dilka marġerina stork jew butir tal-papra kif kienet issejjaħlu hi u neħduha mal-kafè u darba ġiljan qalli kien hemm mara mhux malta ta għax madonna malta għadna lura għadna qisna qed ngħixu taħt xi ma nafx min i ma ninqabdux bħal żewġ ġrieden fin-nassa ħarsu ħarsa madwarhom u spalla ma' spalla baqgħu sejrin lejn it-triq tal-imħażen u kien biss meta ċeda li bdiet tassew taħdem l-azzjoni ta' vitanova,u mar-raġel martu ma jridx jaf xejn donna wisq għall-mewt fuqu wara kollox l-istorja dwar ħuh gunter kien x-xokk naħseb li l-għalqa ta' dan il-ġung barklu u kienet qalet li r-reliġjon kultant għandha ħabta tiftaħ u jgħaqqad marġinina stork butir ta' papra kif kienet issejħet loui u nieħduha mal-kafè u darba ġiljan qal li kien hemm mara mhux malta ta' madonna malta lura għadna bħallikieku qed taħt xi ma nafx min hi ma nqabdux bħal żewġ u ġrieħi fil-nassa ħares u ħarsa madwarhom u spalla ma' spalla baqgħu sejrin lejn it-triq tal-ħażna kien biss meta ċeda li bdiet tassew taħdem l-azzjoni ta' vitana nova mħabbra
clip_006,85,46.289,25.097,0.542,0.0,0.0,0.4688,0.2674,moħħni biex ninħeba wiċċu aħmar il-lejl it-tajjeb ħanini qaltli bi tpespisa għal mill-inqas ħames minuti bqajtu siekta fil-karozza going nowhere ernest qatgħetlu kliemu ommu hekk kif reġgħet għolliet rasha minn fuq il-biċċa xogħol li kienet qed tikteb in-nanna miraklu jkollha tagħmel din id-darba biex tfejqu kompla miegħu xon l-istejjer kollha xi ftit jew wisq kellhom togħma seswali u l-lejl kollu f' kumpanija tiegeħu għidtli li issa stajt tħossu madwarek qalilha xon u nanntu fehmet mill-ewwel int ma rajtux staqsewh it-tlieta flimkien li ssegwi pjan li deep down taf li mhux se jirnexxi imma tkompli xorta waħda,moħni biex ninħeba wiċċu aħmar il-lejl it-tajjeb ħaninini ħadtli bi t-tespisa għal mill-inqas ħames minuti baqa' fil-karozza going nowhere u l-ħbieb u kliem ommu hekk kif reġgħet li tara fuq il-biċċa xogħol li kienet qed in-nanna mir li għandha tagħmel din id-darba biex tfejjaq kompla miegħu xogħol l-istejjer kollha xi ftit kellhom togħma sesswali u l-lejl kollu f'kumpanija ħija tiegħu issa stajt tħoss madwarek hekk għalax ħon fhimt mill-ewwel ma rajtux staqsejtha li ssek pjan li dawn taf ma tmurx imma tkompli xorta waħda u
clip_007,25,14.116,7.61,0.539,0.0,0.0,0.5625,0.3704,staħba wara kolonna u malli ż-żewġt irġiel kienu għaddew ħareġ qisu ljun feroċi jgħajjat u jfajjar bl-imħadda fuq rashom b' kemm kellu saħħa żigarella safra marbuta ma' zokk ta' xkupa u int,ħabib wara kolonna u mal-iżgħar u x-xagħar kien ħareġ il-jum feroċi jgħajjat u jfajjar bl-imħadd fuq rashom kemm kien saħħa ħaġa marbuta ma' xokk oħint
clip_008,77,43.975,24.266,0.552,0.0,0.0,0.4744,0.2226,jiena sejjer f' kamarti qed jistennewh hemm barra allura meta se nibdew niktbuh l-artiklu kien qiegħed isaqsi denis wara li ħaslithom ħasla bl-ilma fietel kienet dikitilhom kull ġerħa u kull gidma biż-żejt taż-żagħruna u l-ispirazzjoni tant tkun qawwija li ma nkunx nista' nirreżistiha aktar kienet qed ittir imdawra bil-friefet ikkuluriti sadanittant salvu tar-razzett kien ġa ħejja l-gidja u kien sejjer biha l-kunvent bil-mod il-mod bdiet dieħla d-drawwa tas-siġra tal-milied fuq il-komodina kellu statwa ċkejkna ġo kaxxa tal-ħġieġ hekk,jien sejjer f'kamarti qed jistennewha barra allura meta se nibdew bidu nikteb l-artiklu kien qed tistaqsi dennis wara l-i ħaslithom ħawla bl-ilma fil-ħabel kienet likom kull ġrieħi u kull ġidma bl-żejt taż-żaruna u l-ispirazzjoni tant tkun qawwija li ma nkunx nista' irreżistiha aktar kienet qed tittajjar imdawwar bil-ħruq ikkuluriti sadanittant sal-ħelsien tar-ra kien ġa ħejja l-gida u kien se jmur bil-konven bil-mod il-mod id-dwiela ta' l-għadira tal-siġra tas-sibt fuq il-komodina kellu statwa żgħira f'kaxxa tal-ħwejjeġ ġġ hekk
clip_009,83,47.229,23.958,0.507,0.0,0.0,0.451,0.2604,ma xtaqx jagħtiha ċ-ċans li jkollha għalfejn titfa' xi ħtija oħra fuqu tgħaxxaqt nara d-dixxiplina u l-ordni fit-traffiku kollox imfassal bil-ħsieb u kulħadd jgħodd għar-regolament bla tlaqliq nispera li tħobbha u m' intx tużaha għax m' għad baqagħlek lil ħadd iżda kien tard wisq tant qiegħed fil-qrib li qed jgħatti lil robert u kevin ikollu jċaqlaq rasu u jgħolli għonqu għax kulma qed jara n-nokkli s-sofor ta' robert iii x' għarukaża li nemmnu f' dak li rridu fejn hi mark delija iż ġojning di protesters sitta u ħamsin kif jien għax qalli li jekk nieħu sehem f' xi tellieqa u nispiċċaw fowtowfinix,ma xtaqx jagħtiha ċans li kollha għalfejn tpoġġi xi ħtija fuqha taxxa id-dixxiplina u l-ordni fit-tra kollox imfassal ħasbu kulħadd jgħodd regolamenti bla ħarġiet nispera li tħobbha ma tużaha għax qalek il-ħadd iżda kien tard wisq tant qiegħed fil-qrib l-i qed robert u kevin jċaqlaq rasu u jgħolli għax kulħadd qed jara n-noqli ta' robert x'għar u każa nemmnu f'dak li rridu fejn hi mark delija joining the protesters sitt u ħamsin kif jien qalli jekk nieħu sehem tlielaq u nispiċċaw u finish
