clip_id,n_words_committed,audio_sec,proc_sec,rtf,median_word_lat,p95_word_lat,streaming_wer,streaming_cer,reference,streamed
clip_000,96,42.454,9.618,0.227,0.0,0.0,0.3053,0.0799,giet il-wejtress u poġġietilhom it-tazzi fuq il-mejda jason iqsar minn robert sa fl-aħħar xon ħass dan il-kliem jieħu sura ġo moħħu u nħasad tant li waqaf zoptu u l-oħrajn daħlu ġo fih daq biċċa alġerin li tant ħa grazzja magħha li talabha timmudellħlu u ħallielha warajh statwetta imma ma jafx min jaf forsi kien hemm iżda ma ppruvajtx wisq surġent oħroġ lill-ħati jistenna barra u agħlaq il-bieb tas-sala u mbagħad yes baqa' surġent fil-kumpanija ta' l-imdina u kien dejjem l-ewwel wieħed meta ham bżonnu biex ifieraq xi ġlieda jew biex jaqbeż f' xi għelt ieħor,ġiet il-wajtres u poġġitilhom it-tgħaz-zji fuq il-mejda jason iqsar minn robert sa fl-aħħar xon ħas dan il-kliem jieħu sura ġo moħħu u nħasad tant li waqaf soptu u l-oħrajn daħlu ġo fih daq biċċa għal ġeħrin li tant ħa grazzja magħha li talabat immudellalu ħalli għa warajh sta' twetta' imma ma jafx min ja f' forsi kien hemm iżda ma appruvajtx wisq surġent oħroġ lil ħati jistenna barra waraq il-bieb tas-sala imbagħad jis baqa' surġent fil-kumpanija tal-imdina u kien dejjem l-ewwel wieħed meta hem bżonnu biex ifiraq xi ġlieda jew biex jaqbeż f' xi għeld ieħor
clip_001,87,42.818,9.758,0.228,0.0,0.0,0.2697,0.0613,dgħajjes oħra m' għandniex ta' meta kienu jmorru jżuru lin-nanniet fil-milied le le żgur hawn xi wieħed tal-klikka tagħha xon li kieku konna miftehmin ma' sister katerina u sister luigina l-ġurnata ta' qabel kienu jikkanċellaw l-appuntament wara marret u ġabret il-ġewlaq li kienet ġabet magħha u minn ġewwa fih ħarġet flixkun ċkejken dan żejt taż-żagħruna ifejjaq il-ġrieħi li għandkom ejja mela kompli wrina x' jiswew tal-partit tiegħek iżda ġralu l-istess daħal lura d-dan id-dar attent li ma jagħmilx ħoss b' seba' għajnejn mhux qamet ineż fil-frattemp u niżlet isfel,dħajjes oħra m' għandniex ta' meta kienu jmorru jżuru lin ngħanniet fil-milied le le żguraw xi wieħed talklikka tagħha xon li kieku konna miftemin ma' sister caterino u sister l-wiġina l-ġurnata ta' qabel kienu jikkanċellaw l-appuntament wara marretu ġabret il-ġewlaq li kienet ġobed magħha u minn ġewwa fejn ħarġet flixkun ċkejken dan żejt taż-żaruna jfejjaq il-ġrieħi li għandkom ejja amela kompli wrina xi swew tal-partit tiegħek iżda ġralu l-istess daħa allura ddaid-dar attent li ma jagħmilx ħoss b' seba' għajnejn mhux qamed ines fil-frattemp u niżlet isfel
clip_002,46,20.925,2.004,0.096,0.0,0.0,0.3,0.0675,imma kellu joqgħod u dawk it-tiri tal-kanuni li b' sinjal ta' ferħ sparaw f' nofsinhar il-franċiżi ħasshom bħal imrietel isabbtu fuq qalbu marija ġiet għalija bil-karozza tagħha u ħaditni narah josef ma naqass li semmilu wkoll miss katanja u jiddiskrivilu l-mod kif tilbes kif titkellem u kif inhu ffissat fuqha,imma kellu joqgħodu dawk it-tiri tal-kanuni li b' sinjal ta' ferħs parawn f' nofsinhar il-franċiżi ħasshom bħall-imrietel li sabbtu fuq qalbu maria ġiet għalija bil-karozza u ħaditni narahinjosef ma naqas li semmilu wkoll mis katanja u jiddiskrivilu l-mod kif tilbes kif titkellem u kif inhuffissat fuqha
clip_003,116,51.711,15.96,0.309,0.0,0.0,0.2661,0.0683,l-iżjed meta kien jaf sewwa min huwa u xi ġralu u dan ħabbu u kien iżommu bħal kieku ħuh appuntu surmast kompla jpespes cassar ara li aħna nkunu dejjem irġiel wieġbu l-bundnar filwaqt li raġa' tafa' l-pipa fil-but u qabad il-ħabel tal-kappestru f' idu intefgħu jistrieħu hemmhekk issa sew qal bejnu u bejn ruħu fra mudest irrid immur miss qalilha roberto b' ċerta urġenza minħabba li kien jaf li jrid jiftaħ il-buttuni tal-qmis malajnr għax inkella kienet se tix tixpakka meta jsir majjal jien kont ili xi tliet snin ma nidħol għall-festivals għax kont inħoss li l-impenji tiegħi fil-lukandi kienu biżżejjed kien jittratta dwar iż-żrieragħ hemm bżonn ta' aktar sigurtà f' paceville u la jinteressani la nagħtih importanza u nixtieq kont nista' ngħaddi mingħajru,l-iżjed mata kien jaf sewwa min huwa u xi ġralu u dan ħabbu u kieniżommu bħal kiekuħuh appuntu sur mas kompla jpespe kassar ara li aħnakudehem rġiel wiġb bnar filwaqt li raġa' ta' falpipa fil-but u qabad il-ħabel tal-aptrufidu intfgħu jistrieħu hemmhekk issa sew qal benu bejruħu fra mudest irrid immur miss qalilha robertob' ċerta urġenza minħabba li kien jaf li jrid jiftaħ il-buttuni tal-qmis malajr għax inkella kienet se tix tixpakka meta jsir majjal jien kont ili xi tliet snin ma nidħol għall-festivals għax kont inħoss li l-impenji tiegħi fil-lukandi kienu biżżejjed kien jittratta dwar i-żrieraħ hemm bżonn ta' aktar sigurtà f' paċevil u la intaressani l-a natih importanza u nixtieq kont nista' ngħaddi mingħajru
clip_004,89,37.826,6.751,0.178,0.0,0.0,0.2174,0.0336,u dak li għandhom jagħmlu l-għada ma jibqax tant importanti min jara l-ġrieden min jara l-wirdien min jiftaħ il-pitazzi u jsibhom mimlija żunżan mejjet nixtieq ngħidlek li issa nista' anki narak hawn ħasbu li kien aktar interessat fir-riċerka li kien għamillu dwar il-proġerija segwieni lura 'l isfel u baqa' jsegwini jien u nħaffef imsarni f' saqajja lejn il-grawnd tal-futbol imbagħad ġamri wegħidha li kellu jibdlilha l-ħġieġ miksur kollu u l-qilla tagħha bdiet tibred bil-mod jien niġi l-aktar imma aktar tard bdew jagħtuna l-porga f' għamla ta' ċikkulata li konna nixtru mingħand l-ispiżjar,u dak li għandhom jagħmlu l-għada ma jibqax tant importanti min jara l-ġlieden min jara l-wirdien min jiftaħ il-pitazzi u jsibhom mimlija żunżan mejjet nixtieq ngħidlek li issa nista' anki nara kawn ħasbu li kienaktar intressat fir-riċerka li kien għamillu dwar il-proġerija segwieni lura 'l isfel u baqa' jsegwini jien u nħaffef imsarni f' sa qajja lejn il-grawnd tal-futbol imbagħad ġamri wiegħda li kellu jibdlilha l-ħġiġ miksur kollu l-illa tagħha bdiet tibred bil-mod jin niġil aktar imma aktartard bdew jagħtuna l-porga fgħamla ta' ċikkulata li konna nixru mingħand l-ispiżjar
clip_005,106,50.26,15.657,0.312,0.0,0.0,0.2523,0.0543,ngħidha u mar ingħalaq f' kamartu ma jrid jaf b' xejn iżjed donnha rie sqa l-mewt fuqu wara kollox l-istorja dwar oħt gunther kienet ixxukkjatu nazju l-barklor u kienet qaltli li r-reliġjon kultant għandha ħabta tifred flok tgħaqqad imbagħad dilka marġerina stork jew butir tal-papra kif kienet issejjaħlu hi u neħduha mal-kafè u darba ġiljan qalli kien hemm mara mhux malta ta għax madonna malta għadna lura għadna qisna qed ngħixu taħt xi ma nafx min i ma ninqabdux bħal żewġ ġrieden fin-nassa ħarsu ħarsa madwarhom u spalla ma' spalla baqgħu sejrin lejn it-triq tal-imħażen u kien biss meta ċeda li bdiet tassew taħdem l-azzjoni ta' vitanova,nħajdha u marinagħalaq f' kamartu ma jrid jaf b' xejn iżjed donnha riesqal-mewt fuqu u wara kollox l-istorja dwar oħtu gunter kienet ixxukkjatu nazju 'l barklor u kienet qallili rreliġjon kultant għandha ħabta tifret flok tgħaqad imbagħad dil-kamar ġerina stork jew butir butir tal-papra kif kienet issejjaħ lu hi u neħduha mal-kafè u darba ġiljan qalli kien hemm mara mhux malta ta'għax madonna malta għadna lura għadna qisna qed ngħixu taħt xi ma nafx min hi ma ninqabdux bħal żewġ ġriedhem fin-nassa ħarsu ħarsa madwarhom u spalla ma spalla baqgħu sejrin lejn it-triq tal-imħażen u kien biss meta ċegħda li bdiet tassew taħdem l-azzjoni ta' vitanova
clip_006,94,46.289,12.69,0.274,0.0,0.0,0.2917,0.0681,moħħni biex ninħeba wiċċu aħmar il-lejl it-tajjeb ħanini qaltli bi tpespisa għal mill-inqas ħames minuti bqajtu siekta fil-karozza going nowhere ernest qatgħetlu kliemu ommu hekk kif reġgħet għolliet rasha minn fuq il-biċċa xogħol li kienet qed tikteb in-nanna miraklu jkollha tagħmel din id-darba biex tfejqu kompla miegħu xon l-istejjer kollha xi ftit jew wisq kellhom togħma seswali u l-lejl kollu f' kumpanija tiegeħu għidtli li issa stajt tħossu madwarek qalilha xon u nanntu fehmet mill-ewwel int ma rajtux staqsewh it-tlieta flimkien li ssegwi pjan li deep down taf li mhux se jirnexxi imma tkompli xorta waħda,moħni biex ninħebha wiċċu aħmar ilejl it-tajjeb ħanini qalt li bit pespisa għal mill-inqas ħames minuti bqajtu siekta fil-karozza going nowar arnest qatgħetlukliemu ommu hekk kif reġa' tgħolli t rasa minn fuq il-biċċa xogħol li kienet qed tikteb in-nanna miraklu jkollha tagħmel din id-darba biex tfejqu kompla miegħu xon l-istejjer kollha xi ftit jew wisq kellhom toma seswali u l-lejl kollu f' kumpanija tiegħu ħetlili issa stajt tħossu madwarek qalilha xon w ħanantu femgħet mill-ewwel int ma rajtux staqsewħitlieta flimkien lis-segwit pjan li dib dawn taf li mhux se jirnexxi imma tkompli xorta waħda
clip_007,29,14.116,1.113,0.079,0.0,0.0,0.1875,0.037,staħba wara kolonna u malli ż-żewġt irġiel kienu għaddew ħareġ qisu ljun feroċi jgħajjat u jfajjar bl-imħadda fuq rashom b' kemm kellu saħħa żigarella safra marbuta ma' zokk ta' xkupa u int,staħba wara kolonna u malli ż-żewġt irġiel kienu għaddew ħareġ qisu ljum feroċi jgħajjat u jfajjar bl-imħadda fuq rashom b'kemm kellu saħħa żigarella safra marbuta mazzokta xkupa u int
clip_008,76,43.975,10.187,0.232,0.0,0.0,0.2051,0.0445,jiena sejjer f' kamarti qed jistennewh hemm barra allura meta se nibdew niktbuh l-artiklu kien qiegħed isaqsi denis wara li ħaslithom ħasla bl-ilma fietel kienet dikitilhom kull ġerħa u kull gidma biż-żejt taż-żagħruna u l-ispirazzjoni tant tkun qawwija li ma nkunx nista' nirreżistiha aktar kienet qed ittir imdawra bil-friefet ikkuluriti sadanittant salvu tar-razzett kien ġa ħejja l-gidja u kien sejjer biha l-kunvent bil-mod il-mod bdiet dieħla d-drawwa tas-siġra tal-milied fuq il-komodina kellu statwa ċkejkna ġo kaxxa tal-ħġieġ hekk,jien sejjer f' kamarti qed jistennewh emm barra allura meta se nibdew niktbuh l-artiklu kien qiegħed isaqsi dennis wara li ħasslithom ħasla bl-ilma f' ietel kienet tiltidlikhom kull ġerħa u kull gidma biż-żejt taż-żaruna u l-ispirazzjoni tant tkun qawwija li ma nkunx nista' nirreżistiha aktar kienet et ittir imdawra bil-f'riefet ikkulluriti sadanittant salvu tar-razzett kien ġa ħejja l-gidja u kien sejjer biha l-kunvent bil-mod il-mod diddieħlad-drawwa tas-siġra tal-milied fuq il-komodina kellu statwa ċkejkna ġokaxxa tal-ħġieġ hekk
clip_009,100,47.229,12.747,0.27,0.0,0.0,0.3137,0.0896,ma xtaqx jagħtiha ċ-ċans li jkollha għalfejn titfa' xi ħtija oħra fuqu tgħaxxaqt nara d-dixxiplina u l-ordni fit-traffiku kollox imfassal bil-ħsieb u kulħadd jgħodd għar-regolament bla tlaqliq nispera li tħobbha u m' intx tużaha għax m' għad baqagħlek lil ħadd iżda kien tard wisq tant qiegħed fil-qrib li qed jgħatti lil robert u kevin ikollu jċaqlaq rasu u jgħolli għonqu għax kulma qed jara n-nokkli s-sofor ta' robert iii x' għarukaża li nemmnu f' dak li rridu fejn hi mark delija iż ġojning di protesters sitta u ħamsin kif jien għax qalli li jekk nieħu sehem f' xi tellieqa u nispiċċaw fowtowfinix,ma xtaqx jagħtiha ċans li jkollha glfejn titfa' xi ħtija oħra fuqu ta xtaqt nara d-dixxiplina u l-ordni fit-traffiku kollox infassal bil-ħsieb u kulħadd jogħod għar-regolamenti blat la qlieq nispera li tħobbha u intix tużaħha għax ma tbaqgħalek il-ħadd iżda kien tard wisq tant qiegħed fil-qrib li qed jgħatti lil robert u kevin ukollu jċaqlaq rasu u jgħolli għonqu għax kulm ed jara ħnnokkli sofor ta' robert i xaru każa li nemmnu f' dak li rridu fejn hi mark delijas ġorning the protestors sitta u ħamsin kif jien għax qalli li jekk nieħu shem f' xi tellieqa u nispiċċaw fowtowfinix
