clip_id,word,audio_arrival_sec,commit_time_sec,word_latency_sec
clip_000,ġiet,4.0,44.063,40.063
clip_000,il-wejtras,4.0,44.063,40.063
clip_000,u,4.0,44.063,40.063
clip_000,poġġitilhom,6.0,45.317,39.317
clip_000,it-tazzi,6.0,45.317,39.317
clip_000,fuq,6.0,45.317,39.317
clip_000,il-mejda,6.0,45.317,39.317
clip_000,ġejsin,8.0,46.748,38.748
clip_000,eqsar,8.0,46.748,38.748
clip_000,mir-robert,8.0,46.748,38.748
clip_000,sa,10.0,49.943,39.943
clip_000,fl-aħħar,10.0,49.943,39.943
clip_000,xon,10.0,49.943,39.943
clip_000,ħass,12.0,56.939,44.939
clip_000,dan,12.0,56.939,44.939
clip_000,il,12.0,56.939,44.939
clip_000,-ħliem,14.0,62.97,48.97
clip_000,jieħu,14.0,62.97,48.97
clip_000,sura,14.0,62.97,48.97
clip_000,ġo,14.0,62.97,48.97
clip_000,moħħu,14.0,62.97,48.97
clip_000,nħasad,14.0,62.97,48.97
clip_000,tant,14.0,62.97,48.97
clip_000,li,14.0,62.97,48.97
clip_000,waqaf,14.0,62.97,48.97
clip_000,sobtu,16.0,88.684,72.684
clip_000,u,16.0,88.684,72.684
clip_000,l-oħnejn,16.0,88.684,72.684
clip_000,daħlu,16.0,88.684,72.684
clip_000,ġo,16.0,88.684,72.684
clip_000,fih,18.0,91.996,73.996
clip_000,daqq,18.0,91.996,73.996
clip_000,biċċa,18.0,91.996,73.996
clip_000,għal,20.0,95.602,75.602
clip_000,ġerin,20.0,95.602,75.602
clip_000,li,20.0,95.602,75.602
clip_000,tant,20.0,95.602,75.602
clip_000,ħa,20.0,95.602,75.602
clip_000,grazzja,22.0,100.17,78.17
clip_000,magħha,22.0,100.17,78.17
clip_000,li,22.0,100.17,78.17
clip_000,tal-abbad,24.0,105.608,81.608
clip_000,immudellalu,24.0,105.608,81.608
clip_000,u,24.0,105.608,81.608
clip_000,ħallieha,24.0,105.608,81.608
clip_000,warajh,24.0,105.608,81.608
clip_000,sta,24.0,105.608,81.608
clip_000,twetta,24.0,105.608,81.608
clip_000,imma,26.0,110.981,84.981
clip_000,ma,26.0,110.981,84.981
clip_000,jafx,26.0,110.981,84.981
clip_000,min,28.0,140.429,112.429
clip_000,jaf,28.0,140.429,112.429
clip_000,forsi,28.0,140.429,112.429
clip_000,kien,28.0,140.429,112.429
clip_000,hemm,28.0,140.429,112.429
clip_000,iżda,30.0,144.643,114.643
clip_000,ma,30.0,144.643,114.643
clip_000,ppruvajċ,32.0,169.189,137.189
clip_000,wixq,32.0,169.189,137.189
clip_000,surġent,32.0,169.189,137.189
clip_000,oħroġ,32.0,169.189,137.189
clip_000,lil,32.0,169.189,137.189
clip_000,ħati,32.0,169.189,137.189
clip_000,jistenna,32.0,169.189,137.189
clip_000,barra,34.0,197.143,163.143
clip_000,welaq,34.0,197.143,163.143
clip_000,il-bieb,34.0,197.143,163.143
